id|firstname|lastname|email|accountdebt|accountnumber
21|Ivan|Massey|wapjuiha@fa.bv|-99341664518.144|58372946
96|Isaiah|Hogan|nigug@zarouha.ly|511519440974.6432|58394762
71|Rachel|Ferguson|nafuklor@itovutu.ag|838456372205.9775|38492765
5|Mittie|Gibson|uhu@cewnam.cr|-822489621148.4672|29384756
28|Polly|Mason|vethup@bos.gh|445065383745.9456|57284693
18|Dominic|Potter|iwemofof@ras.ba|532685802333.7984|38574962
78|Corey|Fuller|za@jettaeca.bw|557496614571.2128|29483756
72|Pearl|Rowe|mizusa@en.dz|349722833741.4144|19837456
30|May|Dixon|lulli@gisove.be|677437657789.2352|27483965
58|Brent|Atkins|heb@ruraum.dk|729554566407.7823|28394756
38|Madge|Adkins|iramu@punur.rs|446227908080.4352|29384765
41|Alma|Ramirez|ibo@siza.hn|-746429266421.3503|48273659
47|Gregory|Frank|dovo@viroh.bq|-436456572269.3632|57382946
6|Franklin|McDaniel|hi@sasge.lk|-478610769890.5088|48392765
43|Owen|Figueroa|elo@ohe.fo|489545240726.7328|47283965
57|Winifred|Rose|darfu@tioka.om|-702610774845.0304|83746529
39|Lilly|Rodgers|gumilu@womah.lt|493889157647.5648|19283746
12|Nannie|Barber|ribewif@wovhi.ug|869456118651.2896|19384762
44|Josie|Cummings|zabohrif@ban.jo|94479029213.5936|93847265
7|Florence|Casey|ewvoduz@vortigcu.om|140231314296.0128|19283756
38|Madge|Adkins|iramu@punur.rs|147143240817.0496|29384765
34|Virginia|Greene|huecanod@ra.lk|730931046383.616|57283946
10|Janie|Glover|zoji@ukbojpu.tn|-811996742575.7184|38475692
41|Alma|Ramirez|ibo@siza.hn|-691730202492.928|48273659
33|Johanna|Luna|ge@modaf.io|152253574938.624|43764598
69|Celia|Wolfe|zu@witlegziv.ls|103724580077.568|43645647
88|Mabelle|McCoy|hun@jesnup.sy|-274697885319.168|43526697
67|Scott|Parks|hefa@tutajnon.vu|-287136734301.3888|43407746
Created @ : Wed Jun 05 17:29:02 SGT 2024
